wort,subset,mean_eva,sd_eva,cases_eva,mean_pot,sd_pot,cases_pot,mean_act,sd_act,cases_act
Akademiker,3,5.569,1.355,216,5.742,1.468,213,4.686,1.634,204
alleinerziehend,3,4.724,1.595,217,5.211,1.863,213,6.22,1.795,205
anordnen,3,4.913,1.468,218,5.789,1.498,213,5.138,1.617,203
Anstand,3,6.874,1.437,215,6.155,1.735,213,4.878,1.801,205
auslachen,3,3.235,1.663,217,4.603,2.183,214,6.078,1.727,205
Autor,3,5.668,1.251,217,5.39,1.293,213,5.103,1.503,204
Bande,3,3.688,1.838,218,5.526,2.078,213,6.177,1.777,203
Beamtin,3,4.657,1.405,216,5.16,1.609,213,3.8,1.736,205
Beerdigung,3,2.378,1.609,217,5.15,2.361,214,3.778,2.555,203
Betriebsrat,3,5.165,1.595,218,5.723,1.644,213,4.716,1.666,204
Club,3,5.56,1.417,218,5.416,1.325,214,5.698,1.737,202
die Gang,3,3.693,1.884,215,5.589,2.114,214,6.324,1.837,207
Dominanz,3,4.083,1.726,218,6.65,1.91,214,6.059,1.648,204
ehrgeizig,3,6.143,1.555,217,6.399,1.446,213,6.458,1.35,203
Elektriker,3,5.419,1.279,215,5.272,1.137,213,5.069,1.134,204
etwas durchsetzen,3,6.037,1.584,216,6.62,1.371,213,6.515,1.419,204
europäisch,3,5.714,1.441,217,5.425,1.619,214,5.143,1.596,203
folgsam,3,5.194,1.656,216,4.766,1.805,214,4.348,1.67,204
gehorsam,3,4.935,1.896,216,5.127,1.865,213,4.426,1.531,204
Geldgier,3,2.797,1.668,217,5.108,2.587,213,5.7,1.884,203
Gemeinde,3,5.512,1.421,217,5.333,1.568,213,4.588,1.609,204
gewürdigt,3,6.426,1.419,216,5.906,1.46,213,5.083,1.536,205
Herr,3,5.124,1.24,218,5.633,1.424,215,5.058,1.26,206
Hochzeit,3,6.967,1.858,215,6.272,1.791,213,7.099,1.766,203
Idol,3,5.825,1.589,217,5.901,1.565,213,5.877,1.535,203
Kindergärtnerin,3,6.101,1.539,217,5.519,1.407,214,5.517,1.725,205
Kindheit,3,6.673,1.831,217,5.624,1.979,213,6.818,1.692,203
Kommissar,3,4.904,1.29,219,5.948,1.458,213,5.446,1.499,204
Lähmung,3,2.286,1.546,217,4.486,2.483,214,3.788,2.291,203
ledig,3,5.245,1.272,216,4.916,1.34,214,5.166,1.502,205
lernen,3,6.198,1.717,217,6.252,1.648,214,5.559,1.728,204
Liebe,3,7.899,1.44,218,7.441,1.859,213,7.098,2.11,204
links,3,5,1.649,215,4.878,1.522,213,5.221,1.501,204
Medien,3,5.106,1.564,217,6.556,1.907,214,6.442,1.663,206
meutern,3,3.523,1.676,216,5.449,2.124,214,6.505,1.848,204
Nationalist,3,3.94,2,217,5.014,2.036,213,5.373,1.73,204
Offizier,3,4.782,1.498,216,6.235,1.685,213,5.358,1.539,204
Provinz,3,5.106,1.504,218,4.629,1.501,213,3.804,1.616,204
Putzmann,3,5.115,1.324,218,4.638,1.491,213,4.798,1.394,203
regieren,3,4.72,1.5,214,6.216,1.906,213,5.402,1.788,204
sadistisch,3,2.417,1.742,216,5.239,2.571,213,6.044,2.134,205
Selbstsicherheit,3,6.847,1.507,216,6.864,1.641,213,5.689,1.571,206
Sozialist,3,4.705,1.597,217,5.033,1.493,213,5.118,1.692,204
spotten,3,3.372,1.732,215,4.559,2.104,213,6.01,1.553,205
streiten,3,3.125,1.681,216,5.568,1.981,213,7.024,1.783,205
Tochter,3,7.097,1.629,217,5.681,1.73,213,6.197,1.665,203
Trost,3,6.829,1.669,216,5.667,1.927,213,4.112,1.724,205
überfallen,3,2.214,1.529,215,5.141,2.48,213,6.888,1.892,205
Vielfalt,3,6.699,1.481,216,5.981,1.596,213,6.328,1.539,204
Vorwurf,3,3.443,1.508,219,5.521,1.763,213,6.049,1.562,204
alleinstehend,4,4.712,1.738,205,4.477,1.629,220,4.5,1.665,220
anonym,4,4.583,1.495,206,4.282,1.645,220,4.543,1.497,219
anständig,4,6.966,1.48,205,5.909,1.768,220,5.009,1.733,218
Anwalt,4,4.782,1.545,206,6.218,1.63,220,5.193,1.572,218
Aufstand,4,3.849,1.78,205,6.335,1.755,221,6.899,1.783,218
authentisch,4,6.364,1.552,206,5.945,1.587,220,5.396,1.371,217
bereichern,4,4.422,2.093,206,5.173,1.828,220,5.705,1.538,217
Besitzer,4,5.302,1.494,205,6.009,1.446,220,5.311,1.186,219
Dame,4,6.2,1.589,205,5.338,1.516,219,5.315,1.677,216
Despot,4,3.444,1.89,205,5.341,2.218,220,5.708,1.827,219
Doktor,4,5.663,1.546,205,6.255,1.391,220,5.165,1.542,218
Familienmitglied,4,7.015,1.628,205,6.014,1.716,220,5.78,1.676,218
gehässig,4,2.688,1.636,205,4.5,2.262,220,5.751,1.998,217
gehorchen,4,4.576,1.829,205,4.9,1.868,220,4.706,1.692,221
Gesindel,4,2.951,1.667,206,4.271,2.006,221,5.427,2.038,218
gierig,4,2.746,1.625,205,4.859,2.276,220,5.959,1.761,218
Gymnasium,4,5.756,1.543,205,5.882,1.577,220,5.795,1.529,219
Handwerker,4,5.617,1.479,206,5.541,1.287,220,5.355,1.404,217
Harmonie,4,7.654,1.473,205,6.338,1.844,219,4.835,2.412,218
Ideologie,4,5.15,1.838,206,5.764,1.704,220,5.502,1.621,219
Konkurrent,4,4.024,1.61,205,5.773,1.463,220,6.183,1.444,218
Konzert,4,6.595,1.641,205,5.695,1.503,220,6.44,1.824,218
Krankenschwester,4,6.379,1.633,206,5.682,1.407,220,5.645,1.548,217
Lehrling,4,5.561,1.242,205,4.4,1.403,220,5.33,1.274,218
loben,4,7.351,1.439,205,6.295,1.674,220,5.834,1.689,217
Manager,4,4.741,1.558,205,6.323,1.685,220,5.977,1.614,217
Mann,4,6.068,1.573,205,6.059,1.652,221,5.569,1.407,218
Obrigkeit,4,3.795,1.589,205,5.878,1.892,221,4.835,1.783,218
passiv,4,4.286,1.411,206,3.964,1.74,221,3.491,1.857,218
Pessimist,4,3.527,1.658,205,3.673,1.868,220,4.073,2.037,219
Politiker,4,3.629,1.807,205,5.441,2.243,220,4.641,2.341,217
rebellisch,4,4.39,1.864,205,5.991,1.843,220,6.834,1.769,217
Rechtsstaat,4,4.717,2.074,205,5.995,1.953,220,4.936,1.994,220
Schlampe,4,2.902,1.983,205,3.995,2.189,220,5.721,2.244,219
Selbstwertgefühl,4,6.712,1.645,205,6.241,1.863,220,5.755,1.763,220
sich anpassen,4,4.898,1.745,205,4.664,1.673,220,4.587,1.639,218
sparsam,4,5.995,1.573,205,5.423,1.552,220,4.433,1.671,217
Spielplatz,4,6.22,1.767,205,4.955,1.534,220,6.794,1.803,218
spöttisch,4,3.8,1.548,205,4.787,1.686,221,5.661,1.63,218
